Name,Description
3D Hubs Teleport,The 3 D Hubs Teleport API allows anyone to send their model to one of 16 000  public printing locations around the world  The API uses JSON or XML for requests and returns  with a maximum request size of 128 MB  Teleport authenticates via OAuth 1 and requires a Consumer Key and Secret  Register with 3 D Hubs to receive your credentials  See the API documentation for more information on how to get started with Teleport 
AMD Mantle,Mantle is a 3 D rendering  graphics API that allows PC games utilizing the Graphics Core Next GPU architecture to reduce CPU overhead  Mantle frees up processing space for more complex applications to run more efficiently without latency  This is done through pre building and re using data results  and allowing applications to directly manage their GPU in various environments 
Archilogic,Archilogic allows prospective tenants and buyers to view 3 D models of available apartments and houses  These models can be explored in browser without the need for special software or plugins  The Archilogic API allows users to request the creation of 3 D models based on floor plan images  Users may also choose to include property photos in the API call 
Aspose.3D Indirect API,Aspose 3 D API provides inderct access to a 3 D document manipulation  NET SDK to create  read  convert  modify and control the processing of 3 D file formats  API supports different formats including Autodesk  3 D Systems CAD  Wavefront  Discreet 3 D Studio  Universal 3 D  Collada  GL Transmission  Google Draco  RVM  PDF  GLB  Direct X  Siemens  DXF  AMF  PLY  3 MF  VRML and more formats  API can easily create 3 D scene documents  define a Metadata for the scene  add animation properties and can be saved in a supported format  Developers can easily create and manipulate 3 D geometric shapes mesh and can share mesh geometric data between different nodes as well as can render a mesh to triangular mesh for easy processing General Features Create a 3 D Scene and a Mesh Surface Add mesh Geometry to the 3 D Scene Set up Normal or UV on the Graphics Objects Apply Transformation to a Node Node Hierarchy in the 3 D Scene Document Share Mesh s Geometry Data between Multiple Nodes Render an Animation Object Apply Materials to 3 D Objects 
Authentise 3DIAX,The Authentise 3 DIAX API allows developers to maintain a large database of model data in the cloud  The specification for the various endpoints are designed to be open so that other providers could create a service that adheres to the same specification and interoperate with any service that works with Authentise  Authentise is a 3 D Printing and 3 D Design company 
Authentise Design Streaming,Authentise is a service that helps companies distribute 3 D design products for purchase and printing  Their technology securely streams designs directly to printers  allowing sellers to implement a pay per print model  It can also be used by 3 D printing bureaus to give customers more control over their designs and improved file security  The Authentise Design Streaming API allows users to upload 3 D objects with purchase order information and retrieve the detailed print status of an object 
Authentise Slicing Service,The Authentise Slicing Service allows developers to enable tool path generation in the cloud  The Slicing Service is designed to be used in tandem with the Model Warehouse  Authentise is a 3 D Printing and 3 D Design company 
Authentise Vision Job,The Authentise Vision Job API allows developers to manage the computer vision service of Authentise  Configure camera operation and print model  job status  layers and more with the API  The vision service is designed to be completely separable from other Authentise services  Authentise is a 3 D Printing and 3 D Design company 
Autodesk Forge 3D Print REST API v1,The Autodesk Forge 3 D Print API offers 3 D printing functionality to existing applications  Additionally  it serves as a printing infrastructure for printer manufacturers  Autodesk is a California based design and business firm that provides industry leading software such as Auto CAD  Maya  and Fusion 360 
Autodesk ReCap,The Autodesk Re Cap API allows developers to access and integrate the functionality of Autodesk Photoscenes and Autodesk files with other applications  Some example API methods include launching the Photoscene process  retrieving Photoscenes  and adding and managing files 
Ayvri REST API v2.0,The Ayvri API returns JSON objects with 3 D services to track adventure travel  events  and races  Web Token is required to authenticate  Ayvri provides 3 D GPS track visualization services 
Bimsync REST API v2.0,Bimsync enables complete revision control of 3 D visualizations  Models are stored in the cloud  this allows for the team involved to access all of them at any time  The Bimsync REST API returns user information  project data  organization information  and member files  The API implements OAuth 2 0 for authentication 
Body Labs BodyKit Instant,The Body Kit Instant REST API by Body Labs allows developers to access and integrate the functionality of Body Labs with other applications and to create new applications for the human body  Some example API methods include creating 3 D models of human bodies  posting and retrieving measurements  and retrieving heat information from heatmaps  Body Labs provides tools and services to analyze the human body shape  pose  and motion 
Bose AR Web JavaScript Indirect API v1.0,This is indirect web access to Bose AR enabled devices to disable  enable and read  sensors  gestures and more  Please refer to the corresponding SDKs below 
CAD File Converter REST API v1.0,The CAD File Converter API allows you to easily translate your design into  stl   obj   dae or  ply file formats that includes 51 File Formats  Cad ai 3 D files viewer is a professional viewer for 3 d industry smart CAD Platform for your CAD CAM business 
CAD Model Edit REST API v1.0,This API allows you to rotate the entire mesh about the specified axis by the given number of degrees  The rotation is counter clockwise about the axis as seen by looking along the positive axis towards the origin  This includes  Mirror Planes  Scaling  Rotate Axes and more  Cad ai 3 D files viewer is a professional viewer for 3 d industry smart CAD Platform for your CAD CAM business 
CAD Model Thumbnails REST API v1.0,CAD Model Thumbnails API allows you to generate thumbnail images of any sizes from a given 3 D file This includes  Generate Thumbnails and Take Snapshots  Cad ai 3 D files viewer is a professional viewer for 3 d industry smart CAD Platform for your CAD CAM business  allows you to take a snapshots of a given 3 D file from any angle you wish for 
CAD.ai 3D-Printing Materials REST API v1.0,The 3 D Printing Materials API is a list of material types and returns a list of materials types available for search including  Plastics  Metals  Ceramics  Resins and more  The List of Available Materials varies with over 250 choices  Cad ai 3 D files viewer is a professional viewer for 3 d industry smart CAD Platform for your CAD CAM business 
CAD.ai Additive Manufacturing REST API v1.0,This API allows to query the prices that would be billed to 3 D print in a given design  It provides you with the list of prices for each material offered by many vendors that are in the system  Some features include  Get Price  Compare Prices  Sort by Vendors and more  Cad ai 3 D files viewer is a professional viewer for 3 d industry smart CAD Platform for your CAD CAM business 
Clara.io,Clara io is a browser based 3 D modeling  animation  and rendering tool that works on Chrome  Firefox  Internet Explorer 11  Windows  Apple OSX  Linux  and Android platforms  Clara io supports versioning and simultaneous  multi user editing for easy collaboration  It also supports more than 30 different 3 D file formats  Through Clara io s REST API  users can import files as well as create  clone  update  list  delete  share  export  render  and get thumbnails for scenes 
Decentraland REST API v1.0,This API allows you to GET Decentraland LAND data for Contributions  Districts  Estates  Mortgages and more  Decentraland uses the Ethereum blockchain to record the ownership of the digital assets  and other tradable items that can be read and reacted to by a 3 D scene  Tokens that are used for experiences and games in Decentraland are held in an Ethereum wallet that holds various tokens for Ether  MANA  LAND  and others  Decentraland is a decentralized VR platform service that is powered by the Ethereum blockchain  that allows you to create  experience  and monetize content and applications 
DEM Net Elevation REST API v1.0,The DEM Net Elevation API provides 3 D textured models and elevation data  The API can be used to retrieve dataset sources  specific dataset information  reports  elevation for a specific location  and imagery information 
Google Poly REST API v1.0,The Google Poly API is a REST API that provides read access to assets in the Poly library Poly is an online library where people can browse  share  and remix 3 D assets  An asset is a 3 D model or scene created using Tilt Brush  Blocks  or any 3 D program that produces a file that can be uploaded to Poly  Many assets are licensed under the CC BY license  which means developers can use them in their apps  free of charge  as long as the creator is given credit  There are thousands of assets available for use at poly google com All calls to the Poly API must include credentials  Credentials are used by Poly to identify your app and enforce usage limits  Credentials for the Poly API  like other Google APIs  are managed through the Google APIs Console  A Google Account is required to receive credentials  There are different types of credentials  API Key and OAuth  2 0  client ID The dashboard in the Google APIs Console lets you monitor and manage access to the Poly API The Poly API has a default quota of 10 queries per second  QPS   per API key or client id  Most assets on Poly are remixable and  thus  published under CC BY license  You are free to copy  modify  and use remixable assets for any purpose  as long as you give appropriate credit to the licensor The API works with Android  i OS  Unity  Unreal  and the web  Toolkits are available for Unity and Unreal 
GraphQL 360 GraphQL API v1.0,Graph QL 360 is an API that allows you to create and consume 360 degree panoramic tours  Decoupling the 360 degree tour from the UI UX design for creation and consumption of the tours enables a richer experience 
i.materialise,i materialise is an online 3 D printing service  Users upload a 3 D model and i materialise creates a physical object  i materialise supports files from most 3 D modeling softwares and file formats  Objects are available in a variety of materials  The i materialise API allows developers to automate site functions  Currently supported operations include file uploads and materials catalog requests 
Localist,Localist is an online calendar  event management and event promotion service  The Localist API is a simple HTTP interface that returns JSON formatted responses  Developers may access this read only API in order to retrieve geographic information  data on events  recent activity  user submitted reviews and photos  organization   group information  and more  Currently there are no defined usage limitations for the Localist API  The Localist REST API is included as a part of the enterprise level Localist software package  All requests require OAuth signature for use 
MakePrintable REST API v3,The Make Printable API allows developers to integrate features for making 3 D models printable into their applications  systems  and workflows  This API includes methods for analysis  repair  hollowing  polygon count reduction  transformation  and more  Make Printable is available for free or with a paid subscription depending on the level of use 
Motion Node,The Motion Node API is part of Motion Workshop  a software as a service that provides 3 D measurements in real time  In detail  the API available in C language with XML formats allows to live stream  record 3 D rotation  organized captured data  configure sensors  and adjust sensitivity for multiple applications 
National Institute of Health 3D Print,The NIH 3 D Printing API allows developers to access and integrate the functionality and data of the NIH 3 D Printing Exchange  Some example API methods include returning 3 D printing models  retrieving information about 3 D prints  and sharing 3 D printing models  The NIH 3 D Printing Exchange is a platform to discover and share information about 3 D printing and 3 D printing models 
Point Cloud Library,The Point Cloud Library API provides developers a way to integrate PCL services into their applications  enabling their applications to process data on the cloud  The Point Cloud Library  PCL  is a large scale  open project for point cloud processing  A point cloud is a set of data points in a 2 D or 3 D coordinate system 
Prototypster,The Prototypster API allows developers to integrate 3 D printing services into their own applications  Prototypster is designed to help users rapidly prototype their products by providing 3 D printing services for custom models  Users simply upload their design  select a material  and choose a shipping method  The website and API documentation are available in both English and Russian 
Shapeways,Shapeways is a 3 D printing service that allows users to order custom designed 3 D objects online  Materials available for printing include steel  silver  ceramic  glass  and various plastics  Shapeways provides a REST based API that enables developers to download information on the available materials  including their properties  The API also lets users upload 3 D models for printing  as well as set up offsite checkout 
SketchFab Download REST API v3.0,The Sketch Fab Download API is a Beta service that allows developers to download 3 D models from Sketchfab  It is a REST like API that provides a way to download a library of 150 000  free models  licensed under Creative Commons and download models in gl TF format  Sketchfab provides services that enables developer with the ability to publish  share and discover 3 D content on web  mobile  VR  and AR 
SketchFab Login,The Sketch Fab Login API allows you to connect to your Sketchfab account and publish 3 D content on Sketchfab without leaving your application  Sketchfab provides services that enables developer with the ability to publish  share and discover 3 D content on web  mobile  VR  and AR 
SketchFab oEmbed,This Sketch Fab API implements the o Embed protocol that allows you to embed any Sketch Fab model on any website  This includes parameters for Url  maxwidth  and maxheight  Sketchfab provides services that enables developer with the ability to publish  share and discover 3 D content on web  mobile  VR  and AR 
Sketchfab Viewer Indirect API,The Sketch Fab Viewer Java Script API allows developers to access and integrate the viewing functionality of Sketch Fab with other applications  The main API method is displaying the viewer  along with playing  pausing  and skipping the content  Sketch Fab is media platform that hosts interactive 3 D models  Artists can publish their 3 D modeling work to share with friends  family  or prospective employers  Others can browse the site or look up specific kinds of models  like planes  trains  or automobiles  This API provides Indirect access to these services  Please refer to the corresponding SDK below 
Stereolabs ZED Indirect API,The Stereolabs API offers connection to the ZED 2 K Stereo Camera  Zed is used to capture large scale 3 D images of environments  Stereolabs ZED features 6 Axis positional tracking  and gets position and orientation at up to 100 Hz with millimeter accuracy 
Vizago,Vizago offers various 3 D services and products such as 3 D reconstruction  face exchange  360  views  photo expressions and cloud service  Developers could benefit from Vizago API because the main value aims to create virtual characters with 3 D animation using a single photo  This could be useful to create avatars  virtual presentations and product demonstrations  The 3 D animation API supports HTTP and JSON formats  In the site  developers can find an API walkthrough  where they can create a 3 D reconstruction  see a sample of upload image function  and review error and successful responses 
WebGL,Web GL is a web standard for APIs that allow users to work with low level 3 D graphics in a browser without the need for a plugin  The standard is based on Open GL ES 2 0 and stays very close to that specification  The Web GL standard functions across platforms and is provided royalty free  The vendors for the Safari  Chrome  Firefox  and Opera browsers are members of the Web GL Working Group 
Emilia,Emilia enables Discord bots with content including images as buffer streams  This service features an endpoint to manipulate images which draws over them  The API uses Tokens for authentication  and returns JSON formatted responses Track APIClone version
Nokē Unspecified API,The Nok  API provides mobile access to doors  gates  storages  units  and containers from a mobile phone using smart access control without a key  Nok  provides smart security solutions  Interested developers can request more information from the provider 
Nuki Apps URL Scheme Indirect API v1.0.0,The Nuki Apps URL Scheme API provides locks  openings  and accessibility via i OS and Android  Developers can use smartphones to implement deep linking into a Smart Lock application 
Nuki Bridge HTTP REST API v1.9.0,The Nuki Bridge HTTP API in REST architecture can access door openers  current lock states  and lock operations  By calling the URL  developers receive JSON arrays with bridges that include IP address  port  bridge ID  and day of last entry  Nuki is a provider of smart locks  or keyless electronic door locks 
Nuki,The Nuki Web API provides access to smart lock solutions  opening doors from i OS and Android devices  Developers can send commands through an HTTPS TLS connection  forming a bridge and forwarding actions via Bluetooth  They can authentication bearer to make calls that will display JSON in return  Nuki is a provider of smart locks  or keyless electronic door locks 
Salto KS Connect REST API v1.1,The Salto KS Connect API provides a key as a service solution to access doors from a mobile phone  The KS Connect API enables developers to programmatically access their SALTO locks  including functions to implement IQs  router combinations   create remote locks  and grant access to customers with the API 
Tenon.io,The Tenon io API allows developers to integrate their applications with the Tenon services  to facilitate the testing of web based products and services for compliance with major standards for Accessibility  Tenon is a web based company that provides users a way to test the accessibility of their websites 
AccountingLive REST API v4,The Accounting Live API integrates accounting features into applications such as invoicing  billing  and templates  It is available in REST architecture with HTTP requests and JSON responses  authenticating via basic HTTP 
Allmyles Booking Notifications,The Booking Notifications API allows for a platform that facilitates programmatic access to financial and booking data  It aims to feed a back office system with post booking information to reduce manual book keeping  Allmyles provides bookable content integration for travel services 
Amatino,The Amatino API provides a way to store  organize  and retrieve financial data  This API can store transactions  generate balance sheets  perform foreign currency conversions  apply fine grained permissions  and more  Data is stored in a chosen nearest location which allows for minimum latency  The Amatino API returns data in JSON format 
Aqilla,The Aqilla API provides accounting on the cloud solutions for enterprises  Developers can integrate spreadsheets  reports  document management via Microsoft Excel and Sales Force CRM  It is available for request at info aqilla com
Bexio,The Bexio API integrates accounting  invoicing  and ordering features into business applications  Available in German and English languages  Bexio provides a REST interface with JSON formats and API Key as authentication method 
Big Red Cloud,Big Red Cloud API integrates business in the accounting field  This API offers a support accounting software service in addition to the integration with the API available on REST and ODATA formats  Guidelines include to create a key associated with developer s business  choose between C   Java  PHP  Perl  and Node JS languages  and integrate a business  Big Red Cloud API uses HTTP basic auth  Responses return HTTP protocol 
Cloud Elements Sage Accounting Hub REST API v2,The Cloud Elements Sage Accounting Hub API provides uniform access to Sage One UK  Sage One US  and Sage Live  allowing developers to use normalized resources when interacting with one or more of those products  There are plans to add access to Sage X 3  Sage 50  Sage 100  Sage 300  and My Sage in the future 
Common Ledger,Common Ledger is an accounting platform with cloud capabilities  This platform automates collection and delivery of financial data between client and accountant  and its focus is on improving efficiency and productivity  Developers need to create an account to access documentation  Common Ledger is a New Zealand company with headquarters in Wellington 
Datamolino REST API v1.2,The Datamolino API allows you to integrate Datamolino s invoice OCR data capture service and invoice data extraction directly into your software or custom company process  Developers can integrate the service providing users with touch less invoice data capture directly into third party applications You will need to contact info datamolino com to register for an API Key in order to use this API Datamolino provides automated real time bookkeeping automation for accounting firms using Xero and Quickbooks  Datamolino Apps are available on i Tunes and Google Play 
Dinero REST API v1,Dinero is an accounting platform for businesses  The Dinero API allows integration of the platform and programmatic control including cloud sharing for documents  The firm is from Denmark and the website is in Danish 
